collector,start,end,alpha,bravo,charlie
Google Play Random,08/18/2020 09:13:38 AM,08/18/2020 09:14:51 AM,5,4,2
Google Play Random,08/18/2020 08:53:04 AM,08/18/2020 08:54:33 AM,4,4,2
Google Play Random,08/18/2020 08:37:26 AM,08/18/2020 09:52:52 AM,4,4,3
Google Play Random,08/18/2020 08:33:43 AM,08/18/2020 08:34:37 AM,3,4,3
Google Play Random,08/18/2020 08:18:02 AM,08/18/2020 08:18:35 AM,4,1,3
Google Play Random,08/18/2020 08:17:50 AM,08/18/2020 08:20:01 AM,4,1,5
Google Play Random,08/18/2020 08:17:21 AM,08/18/2020 08:18:17 AM,2,5,1
Google Play Random,08/18/2020 08:10:35 AM,08/18/2020 08:11:29 AM,2,4,5
Google Play Random,08/18/2020 08:07:35 AM,08/18/2020 08:08:14 AM,3,5,4
Google Play Random,08/18/2020 07:16:41 AM,08/18/2020 07:17:16 AM,2,5,4
Google Play Random,08/18/2020 07:13:57 AM,08/18/2020 07:14:45 AM,4,5,3
Google Play Random,08/18/2020 05:53:32 AM,08/18/2020 05:54:44 AM,1,5,3
Google Play Random,08/18/2020 05:16:03 AM,08/18/2020 05:17:55 AM,1,1,5
Google Play Random,08/18/2020 05:09:32 AM,08/18/2020 05:10:21 AM,4,3,1
Google Play Random,08/18/2020 05:08:01 AM,08/18/2020 05:09:18 AM,3,4,4
Google Play Beta,08/18/2020 05:07:46 AM,08/18/2020 05:08:18 AM,4,3,2
Google Play Random,08/18/2020 04:05:01 AM,08/18/2020 04:05:35 AM,4,3,4
Google Play Random,08/18/2020 02:51:49 AM,08/18/2020 02:52:19 AM,3,3,2
Google Play Random,08/18/2020 02:45:47 AM,08/18/2020 02:46:35 AM,4,4,1
Google Play Random,08/18/2020 02:19:36 AM,08/18/2020 02:20:16 AM,4,3,5
Google Play Random,08/18/2020 01:48:42 AM,08/18/2020 01:49:53 AM,2,4,5
Google Play Random,08/18/2020 12:41:08 AM,08/18/2020 12:41:40 AM,4,3,2
Google Play Random,08/18/2020 12:39:09 AM,08/18/2020 12:39:42 AM,3,4,4
Google Play Random,08/18/2020 12:15:55 AM,08/18/2020 12:16:13 AM,1,5,1
Google Play Random,08/17/2020 11:37:04 PM,08/17/2020 11:39:58 PM,4,2,3
Google Play Random,08/17/2020 11:32:08 PM,08/17/2020 11:34:06 PM,1,2,5
Google Play Random,08/17/2020 11:15:58 PM,08/17/2020 11:16:55 PM,3,4,4
Google Play Random,08/17/2020 10:43:59 PM,08/17/2020 10:44:36 PM,4,5,3
Google Play Random,08/17/2020 10:42:04 PM,08/17/2020 10:42:56 PM,5,4,1
Google Play Random,08/17/2020 10:20:16 PM,08/17/2020 10:21:45 PM,3,5,1
Google Play Random,08/17/2020 09:59:01 PM,08/17/2020 10:00:26 PM,3,5,4
Google Play Random,08/17/2020 09:37:33 PM,08/17/2020 09:38:08 PM,5,2,5
Google Play Beta,08/17/2020 09:30:16 PM,08/17/2020 09:31:34 PM,5,4,1
Google Play Random,08/17/2020 09:12:22 PM,08/17/2020 09:15:55 PM,4,5,3
Google Play Random,08/17/2020 09:08:22 PM,08/17/2020 09:10:05 PM,5,1,5
Google Play Random,08/17/2020 08:57:44 PM,08/17/2020 08:59:10 PM,1,3,4
Google Play Random,08/17/2020 07:51:07 PM,08/17/2020 07:51:55 PM,4,4,3
Google Play Random,08/17/2020 07:49:57 PM,08/17/2020 07:50:57 PM,2,3,4
Google Play Random,08/17/2020 07:40:12 PM,08/17/2020 07:43:29 PM,1,5,2
Google Play Random,08/17/2020 07:30:23 PM,08/17/2020 07:36:26 PM,2,3,4
Google Play Random,08/17/2020 07:09:02 PM,08/17/2020 07:09:48 PM,5,1,1
Google Play Random,08/17/2020 06:44:19 PM,08/17/2020 06:46:35 PM,2,3,1
Google Play Random,08/17/2020 06:38:13 PM,08/17/2020 06:39:59 PM,1,4,4
Google Play Random,08/17/2020 06:37:16 PM,08/17/2020 06:38:26 PM,5,3,5
Google Play Random,08/17/2020 06:28:55 PM,08/17/2020 06:29:54 PM,4,5,3
Google Play Random,08/17/2020 06:15:04 PM,08/17/2020 06:16:55 PM,3,1,4
Google Play Random,08/17/2020 06:02:37 PM,08/17/2020 06:03:30 PM,2,3,5
Google Play Random,08/17/2020 05:43:24 PM,08/17/2020 05:51:08 PM,4,5,2
Google Play Random,08/17/2020 05:47:49 PM,08/17/2020 05:48:30 PM,3,4,2
